Software,Function name,Called time,Log time,Log Level,Weight,Keyword
4,plug_in_help_def_deserialize,1,0,0,0.7874,help
4,plug_in_has_init_deserialize,1,0,0,0.4078,has
4,gimp_scanner_parse_token,19,0,0,0.2469,parse
4,plug_in_menu_path_deserialize,1,0,0,0.3161,path
4,plug_in_icon_deserialize,1,0,0,0.0449,in
4,plug_in_file_proc_deserialize,1,0,0,0.7248,proc
4,plug_in_proc_arg_deserialize,2,0,0,0.7248,proc
4,g_enum_get_value_by_name,3,0,0,0.6052,by
4,gimp_plug_in_def_set_help_domain,2,0,0,0.7874,help
4,gimp_config_writer_identifier,3,0,0,0.4677,config
4,plug_in_icc_profile_info_return,2,0,0,0.1957,profile
4,gimp_plug_in_procedure_set_icon,3,0,0,0.0711,set
4,gimp_procedure_set_static_strings,665,0,0,0.0711,set
4,gimp_param_spec_int32,363,0,0,0.1000,t32
4,gimp_param_spec_image_id,182,0,0,0.3375,id
4,gimp_param_spec_drawable_id,133,0,0,0.3375,id
4,gimp_param_spec_string,325,0,0,0.0573,string
4,xcf_read_int8,11,1,2,0.5791,read
4,gimp_value_set_image,10,0,0,0.0711,set
4,gimp_value_get_image,175,0,0,0.1852,get
4,xcf_save_choose_format,1,0,0,0.1810,save
4,xcf_save_image,1,0,0,0.1810,save
4,xcf_read_int32,87,6,16,0.5791,read
4,xcf_load_image_props,1,1,4,0.2998,load
4,gimp_grid_from_parasite,1,0,0,0.1964,from
4,xcf_seek_pos,39,6,24,0.2588,seek
4,xcf_load_layer,1,0,0,0.2998,load
4,gimp_item_stack_get_parent_by_path,1,0,0,0.6052,by
4,xcf_load_channel,1,0,0,0.2998,load
4,xcf_load_add_masks,2,0,0,0.2998,load
4,gimp_image_set_filename,39,0,0,0.1884,filename
4,gimp_image_set_tattoo_state,3,0,0,0.4829,state
4,xcf_load_prop,3,0,0,0.3562,prop
4,xcf_read_float,6,1,2,0.5791,read
4,xcf_load_parasite,4,3,6,0.2998,load
4,gimp_unit_get_number_of_built_in_units,9,1,2,1.4545,units
4,xcf_load_old_paths,1,0,0,0.5526,old
4,xcf_read_string,7,0,0,0.5791,read
4,gimp_unit_get_number_of_units,15,1,4,1.4545,units
4,gimp_unit_get_identifier,8,0,0,0.1852,get
4,gimp_unit_new,2,0,0,0.0293,new
4,xcf_load_vectors,1,0,0,0.2998,load
4,xcf_skip_unknown_prop,3,0,0,0.3562,prop
4,gimp_group_layer_new,3,0,0,0.0682,group
4,gimp_channel_set_opacity,2,0,0,0.0711,set
4,gimp_rgb_set_uchar,24,0,0,0.0711,set
4,xcf_load_layer_props,1,0,0,0.2998,load
4,gimp_text_layer_xcf_load_hack,1,0,0,0.2998,load
4,gimp_text_layer_set_xcf_flags,1,0,0,0.1773,flags
4,xcf_load_hierarchy,3,0,0,0.2998,load
4,gimp_viewable_set_expanded,2,0,0,0.0711,set
4,xcf_load_layer_mask,1,0,0,0.2998,load
4,gimp_layer_mask_set_edit,3,0,0,0.4286,edit
4,xcf_load_channel_props,2,0,0,0.2998,load
4,xcf_load_level,1,0,0,0.2998,load
4,xcf_load_tile,1,0,0,0.2998,load
4,xcf_load_tile_rle,1,0,0,0.2998,load
4,xcf_load_old_path,1,0,0,0.5526,old
4,gimp_vectors_compat_new,2,0,0,0.1000,compat
4,xcf_load_vector,1,0,0,0.3318,vector
4,__builtin___sprintf_chk,38,0,0,0.0449,in
4,xcf_write_int8,11,7,28,0.2727,t8
4,xcf_write_int32,138,102,404,0.2545,write
4,xcf_save_image_props,1,0,0,0.1869,props
4,xcf_save_layer,1,1,4,0.1810,save
4,xcf_seek_end,9,0,0,0.2588,seek
4,xcf_save_channel,2,1,4,0.1810,save
4,xcf_save_prop,45,0,0,0.3562,prop
4,gimp_image_get_tattoo_state,3,0,0,0.4829,state
4,gimp_vectors_compat_is_compatible,1,0,0,0.8485,compatible
